_posError:0.0125485	_velError:-0.00845861	mass:4.83115	_posBody:0.307452	_velBody:0.00845861
_posError:0.012493	_velError:-0.00811555	mass:4.84274	_posBody:0.307507	_velBody:0.00811555
_posError:0.0124374	_velError:-0.00779967	mass:4.85428	_posBody:0.307563	_velBody:0.00779967
_posError:0.0123821	_velError:-0.00749868	mass:4.86577	_posBody:0.307618	_velBody:0.00749868
_posError:0.0123285	_velError:-0.00722788	mass:4.87723	_posBody:0.307672	_velBody:0.00722788
_posError:0.0122759	_velError:-0.00699396	mass:4.88864	_posBody:0.307724	_velBody:0.00699396
_posError:0.0122249	_velError:-0.00680124	mass:4.90001	_posBody:0.307775	_velBody:0.00680124
_posError:0.0121753	_velError:-0.00664488	mass:4.91134	_posBody:0.307825	_velBody:0.00664488
_posError:0.0121271	_velError:-0.00652345	mass:4.92262	_posBody:0.307873	_velBody:0.00652345
_posError:0.012079	_velError:-0.00644114	mass:4.93386	_posBody:0.307921	_velBody:0.00644114
_posError:0.0120298	_velError:-0.00638681	mass:4.94504	_posBody:0.30797	_velBody:0.00638681
_posError:0.0119829	_velError:-0.00635399	mass:4.95619	_posBody:0.308017	_velBody:0.00635399
_posError:0.0119374	_velError:-0.00634942	mass:4.96729	_posBody:0.308063	_velBody:0.00634942
_posError:0.0118925	_velError:-0.00637131	mass:4.97835	_posBody:0.308108	_velBody:0.00637131
_posError:0.0118453	_velError:-0.00642226	mass:4.98935	_posBody:0.308155	_velBody:0.00642226
_posError:0.0117962	_velError:-0.00649426	mass:5.00029	_posBody:0.308204	_velBody:0.00649426
_posError:0.0117459	_velError:-0.00658485	mass:5.01117	_posBody:0.308254	_velBody:0.00658485
_posError:0.0116954	_velError:-0.00668898	mass:5.02199	_posBody:0.308305	_velBody:0.00668898
_posError:0.0116445	_velError:-0.00680974	mass:5.03276	_posBody:0.308355	_velBody:0.00680974
_posError:0.0115965	_velError:-0.00693186	mass:5.04348	_posBody:0.308404	_velBody:0.00693186
_posError:0.0115464	_velError:-0.00707819	mass:5.05415	_posBody:0.308454	_velBody:0.00707819
_posError:0.0114937	_velError:-0.00724444	mass:5.06474	_posBody:0.308506	_velBody:0.00724444
_posError:0.0114376	_velError:-0.00742877	mass:5.07526	_posBody:0.308562	_velBody:0.00742877
_posError:0.0113786	_velError:-0.00762393	mass:5.0857	_posBody:0.308621	_velBody:0.00762393
_posError:0.0113198	_velError:-0.00781883	mass:5.09608	_posBody:0.30868	_velBody:0.00781883
_posError:0.0112601	_velError:-0.00801806	mass:5.10638	_posBody:0.30874	_velBody:0.00801806
_posError:0.0112025	_velError:-0.00820782	mass:5.11664	_posBody:0.308798	_velBody:0.00820782
_posError:0.0111418	_velError:-0.00840483	mass:5.12682	_posBody:0.308858	_velBody:0.00840483
_posError:0.0110795	_velError:-0.00861794	mass:5.13693	_posBody:0.30892	_velBody:0.00861794
_posError:0.0110158	_velError:-0.00883388	mass:5.14696	_posBody:0.308984	_velBody:0.00883388
_posError:0.0109503	_velError:-0.00905191	mass:5.15691	_posBody:0.30905	_velBody:0.00905191
_posError:0.0108841	_velError:-0.00926967	mass:5.16678	_posBody:0.309116	_velBody:0.00926967
_posError:0.0108194	_velError:-0.00948013	mass:5.1766	_posBody:0.309181	_velBody:0.00948013
_posError:0.0107549	_velError:-0.00968257	mass:5.18635	_posBody:0.309245	_velBody:0.00968257
_posError:0.0106904	_velError:-0.00988381	mass:5.19603	_posBody:0.30931	_velBody:0.00988381
_posError:0.0106221	_velError:-0.0101019	mass:5.20562	_posBody:0.309378	_velBody:0.0101019
_posError:0.0105489	_velError:-0.010331	mass:5.21511	_posBody:0.309451	_velBody:0.010331
_posError:0.0104727	_velError:-0.0105615	mass:5.22451	_posBody:0.309527	_velBody:0.0105615
_posError:0.0103945	_velError:-0.0107906	mass:5.23381	_posBody:0.309606	_velBody:0.0107906
_posError:0.0103187	_velError:-0.0109964	mass:5.24305	_posBody:0.309681	_velBody:0.0109964
_posError:0.0102393	_velError:-0.0112018	mass:5.25219	_posBody:0.309761	_velBody:0.0112018
_posError:0.0101574	_velError:-0.0114091	mass:5.26124	_posBody:0.309843	_velBody:0.0114091
_posError:0.0100719	_velError:-0.0116124	mass:5.27018	_posBody:0.309928	_velBody:0.0116124
_posError:0.00998449	_velError:-0.0118085	mass:5.27902	_posBody:0.310016	_velBody:0.0118085
_posError:0.00989715	_velError:-0.0119904	mass:5.28777	_posBody:0.310103	_velBody:0.0119904
_posError:0.00981338	_velError:-0.0121545	mass:5.29646	_posBody:0.310187	_velBody:0.0121545
_posError:0.00972711	_velError:-0.0123145	mass:5.30505	_posBody:0.310273	_velBody:0.0123145
_posError:0.00963962	_velError:-0.0124677	mass:5.31355	_posBody:0.31036	_velBody:0.0124677
_posError:0.00955327	_velError:-0.0126109	mass:5.32196	_posBody:0.310447	_velBody:0.0126109
_posError:0.00946147	_velError:-0.0127534	mass:5.33025	_posBody:0.310539	_velBody:0.0127534
_posError:0.00937297	_velError:-0.0128828	mass:5.33848	_posBody:0.310627	_velBody:0.0128828
_posError:0.00927962	_velError:-0.0130075	mass:5.34659	_posBody:0.31072	_velBody:0.0130075
_posError:0.00918577	_velError:-0.0131274	mass:5.3546	_posBody:0.310814	_velBody:0.0131274
_posError:0.00908873	_velError:-0.0132381	mass:5.36251	_posBody:0.310911	_velBody:0.0132381
_posError:0.00898904	_velError:-0.0133335	mass:5.37031	_posBody:0.311011	_velBody:0.0133335
_posError:0.00888896	_velError:-0.0134219	mass:5.378	_posBody:0.311111	_velBody:0.0134219
_posError:0.00879123	_velError:-0.0134909	mass:5.38561	_posBody:0.311209	_velBody:0.0134909
_posError:0.00869396	_velError:-0.0135454	mass:5.39314	_posBody:0.311306	_velBody:0.0135454
_posError:0.00859727	_velError:-0.0135971	mass:5.40057	_posBody:0.311403	_velBody:0.0135971
_posError:0.0084974	_velError:-0.0136358	mass:5.40789	_posBody:0.311503	_velBody:0.0136358
_posError:0.00839606	_velError:-0.0136646	mass:5.41511	_posBody:0.311604	_velBody:0.0136646
_posError:0.00829744	_velError:-0.0136872	mass:5.42224	_posBody:0.311703	_velBody:0.0136872
_posError:0.00819724	_velError:-0.0136996	mass:5.42927	_posBody:0.311803	_velBody:0.0136996
_posError:0.00809808	_velError:-0.0136908	mass:5.43622	_posBody:0.311902	_velBody:0.0136908
_posError:0.00800027	_velError:-0.0136803	mass:5.44307	_posBody:0.312	_velBody:0.0136803
_posError:0.00790118	_velError:-0.0136624	mass:5.44983	_posBody:0.312099	_velBody:0.0136624
_posError:0.00780132	_velError:-0.0136309	mass:5.45649	_posBody:0.312199	_velBody:0.0136309
_posError:0.0077061	_velError:-0.0135937	mass:5.46308	_posBody:0.312294	_velBody:0.0135937
_posError:0.007608	_velError:-0.0135489	mass:5.46957	_posBody:0.312392	_velBody:0.0135489
_posError:0.00750629	_velError:-0.0134911	mass:5.47594	_posBody:0.312494	_velBody:0.0134911
_posError:0.00740315	_velError:-0.013414	mass:5.48222	_posBody:0.312597	_velBody:0.013414
_posError:0.00730278	_velError:-0.013337	mass:5.48841	_posBody:0.312697	_velBody:0.013337
_posError:0.00720652	_velError:-0.013262	mass:5.49453	_posBody:0.312793	_velBody:0.013262
_posError:0.00711102	_velError:-0.0131751	mass:5.50057	_posBody:0.312889	_velBody:0.0131751
_posError:0.00701006	_velError:-0.0130727	mass:5.50649	_posBody:0.31299	_velBody:0.0130727
_posError:0.00691059	_velError:-0.0129496	mass:5.51232	_posBody:0.313089	_velBody:0.0129496
_posError:0.00681189	_velError:-0.0128188	mass:5.51807	_posBody:0.313188	_velBody:0.0128188
_posError:0.00672051	_velError:-0.0127082	mass:5.52377	_posBody:0.313279	_velBody:0.0127082
_posError:0.00662468	_velError:-0.0125813	mass:5.52936	_posBody:0.313375	_velBody:0.0125813
_posError:0.00652874	_velError:-0.0124351	mass:5.53487	_posBody:0.313471	_velBody:0.0124351
_posError:0.00643311	_velError:-0.012277	mass:5.54028	_posBody:0.313567	_velBody:0.012277
_posError:0.00633673	_velError:-0.0121089	mass:5.54562	_posBody:0.313663	_velBody:0.0121089
_posError:0.00624022	_velError:-0.0119287	mass:5.55086	_posBody:0.31376	_velBody:0.0119287
_posError:0.00614748	_velError:-0.0117498	mass:5.55604	_posBody:0.313853	_velBody:0.0117498
_posError:0.00605676	_velError:-0.0115731	mass:5.56114	_posBody:0.313943	_velBody:0.0115731
_posError:0.00596915	_velError:-0.0113952	mass:5.56618	_posBody:0.314031	_velBody:0.0113952
_posError:0.00588116	_velError:-0.0112089	mass:5.57114	_posBody:0.314119	_velBody:0.0112089
_posError:0.00579585	_velError:-0.0110166	mass:5.57603	_posBody:0.314204	_velBody:0.0110166
_posError:0.00571097	_velError:-0.0108277	mass:5.58085	_posBody:0.314289	_velBody:0.0108277
_posError:0.00563527	_velError:-0.0106556	mass:5.58564	_posBody:0.314365	_velBody:0.0106556
_posError:0.00555936	_velError:-0.0104893	mass:5.59037	_posBody:0.314441	_velBody:0.0104893
_posError:0.00548137	_velError:-0.0103036	mass:5.59501	_posBody:0.314519	_velBody:0.0103036
_posError:0.00540315	_velError:-0.0101069	mass:5.59959	_posBody:0.314597	_velBody:0.0101069
_posError:0.00532605	_velError:-0.0098992	mass:5.6041	_posBody:0.314674	_velBody:0.0098992
_posError:0.00524944	_velError:-0.00969527	mass:5.60855	_posBody:0.314751	_velBody:0.00969527
_posError:0.00517728	_velError:-0.00949341	mass:5.61296	_posBody:0.314823	_velBody:0.00949341
_posError:0.00510665	_velError:-0.00930389	mass:5.61731	_posBody:0.314893	_velBody:0.00930389
_posError:0.00503818	_velError:-0.00911951	mass:5.6216	_posBody:0.314962	_velBody:0.00911951
_posError:0.00496981	_velError:-0.00893165	mass:5.62584	_posBody:0.31503	_velBody:0.00893165
_posError:0.00490334	_velError:-0.00873751	mass:5.63003	_posBody:0.315097	_velBody:0.00873751
